question_id,question,ground_truth,prediction,em,f1,llm_accuracy,prompt_tokens,completion_tokens,total_tokens,retrieval_s,generation_s,num_paths,num_entities,num_seeds,steps_taken,seed_entities,extracted_entities
q_0,Who is the spouse of the Green performer?,Miquette Giraudy,miquette giraudy,1.0,1.0,,9045,4,9095,2.191153750056401,0.9061698750592768,20,30,1,3,green,green
q_1,Who founded the company that distributed the film UHF?,Mike Medavoy,morris mike medavoy,0.0,0.8,,24344,6,24397,3.491279082838446,1.6746239170897752,20,30,5,3,"uhf (film), orion pictures, tulsa, oklahoma, midnight fm, bluebox limited films",uhf
q_2,What administrative territorial entity is the owner of Ciudad Deportiva located?,Tamaulipas,nuevo laredo municipality,0.0,0.0,,5156,4,5210,0.16135079180821776,1.7258127920795232,15,30,1,3,ciudad deportiva,ciudad deportiva
q_3,Where is Ulrich Walter's employer headquartered?,Cologne,german aerospace center`,0.0,0.0,,8199,4,8250,0.26216966612264514,1.5599502499680966,24,30,1,3,ulrich walter,ulrich walter
q_4,Which company owns the manufacturer of Learjet 60?,Bombardier Inc.,pratt & whitney canada,0.0,0.0,,2017,6,2073,0.22853375016711652,1.507083792006597,13,30,5,3,"learjet, pw305a, bombardier inc., avro rj70, avro rj100",learjet 60
q_5,Who is the child of Caroline LeRoy's spouse?,Fletcher Webster,hannah cornell,0.0,0.0,,44944,4,44995,6.14883558312431,2.116854832973331,19,30,5,3,"leroy, herman leroy, le roy, caroline leroy webster, breton ar roue",caroline leroy
q_6,"Who is the grandmother of Philippe, Duke of Orléans?",Marie de' Medici,anne of austria,0.0,0.0,,10782,4,10832,5.621624167077243,1.6356667089276016,13,30,5,3,"philippe i, duke of orléans, philippe ii, duke of orléans, philippe, louis philippe, françois d'orléans, prince of joinville","philippe, duke of orl&#233;ans"
q_7,What is the goal of the group that European Movement Germany is a member of?,European integration,promoting European integration and disseminating information about it,0.0,0.4,,328,8,365,0.05265745893120766,1.614678709069267,2,4,1,3,european movement germany,european movement germany
q_8,What company succeeded the owner of Empire Sports Network?,Time Warner Cable,time warner cable,1.0,1.0,,22605,4,22651,3.912028667051345,1.9715483330655843,13,30,1,3,empire sports network,empire sports network
q_9,What province shares a border with the province where Lago District is located?,Cabo Delgado Province,cabo delgado province,1.0,1.0,,2970,4,3021,0.09120825002901256,1.561982958111912,24,28,1,3,lago district,lago district
q_10,What league does the team that plays in Stadio Ciro Vigorito play for?,Lega Pro Prima Divisione,lega pro,0.0,0.6666666666666666,,11329,2,11381,0.24232649989426136,1.1185168330557644,25,30,1,3,stadio ciro vigorito,stadio ciro vigorito
q_11,What is a notable work written by the author of The Timothy files?,Anderson Tapes,the anderson tapes,1.0,1.0,,569,4,618,0.09199999994598329,0.6800415001343936,4,7,1,3,the timothy files,the timothy files
q_12,In which borough was Callum McManaman born?,Knowsley,metropolitan borough of knowsley,0.0,0.4,,7150,6,7203,0.6384687919635326,0.9275377502199262,16,30,1,3,callum mcmanaman,callum mcmanaman
q_13,What other county does the county where Imperial is located share a border with?,Crockett County,'pecos county',0.0,0.5,,5743,5,5796,0.43862387514673173,0.774174208054319,20,30,1,3,imperial,imperial
q_14,In what county is William W. Blair's birthplace located?,Orleans County,sweetwater county,0.0,0.5,,31462,3,31495,4.535367124946788,2.343061584047973,17,30,5,3,"blair brothers, blairtown, sheridan, george blair, blaine",william w. blair
q_15,What award did the author of The Red Tree receive?,Academy Award for Best Animated Short Film,NOT IN KNOWLEDGE GRAPH,0.0,0.0,,256,5,289,0.024956666165962815,0.5859292498789728,1,3,1,3,the red tree,the red tree
q_16,Where was Tyler MacDuff's child educated?,Blair High School,blair high school,1.0,1.0,,4728,4,4767,0.4978150420356542,0.7468506670556962,6,30,5,3,"macduff, dana andrews, beverlie may anderson, blair high school, tyler blackburn",tyler macduff
q_17,Who is the spouse of the Rabbit Hole's producer?,Keith Urban,nicole kidman,0.0,0.0,,18066,4,18111,0.6512257501017302,1.9725077499169856,21,30,5,3,"blossom films, echo falls, down the rabbit hole, rabbit ears productions, ingrid",rabbit hole
q_18,Who is the child of Sigrid Eskilsdotter's child?,Svante Stensson Sture,king gustav vasa,0.0,0.0,,4209,5,4261,0.5334556670859456,0.8244189580436796,12,30,5,3,"sigrid eskilsdotter (banér), märta erikdotter leijonhufvud, svante stensson sture, siri dannevig, margaret leijonhufvud",sigrid eskilsdotter
q_19,In which county is Kimbrough Memorial Stadium located?,Randall County,randall county,1.0,1.0,,22923,3,22974,0.22038162499666214,1.496673749992624,20,30,1,3,kimbrough memorial stadium,kimbrough memorial stadium
q_20,What record label is the performer of Almost Made Ya signed to?,Derrty Entertainment,derrty entertainment,1.0,1.0,,2758,3,2812,0.23569670785218477,0.8515974171459675,12,30,1,3,almost made ya,almost made ya
q_21,Where was the author of Hannibal and Scipio educated at?,Exeter College,"The provided knowledge graph does not contain information about the education of the author of ""Hannibal and Scipio"".",0.0,0.0,,11165,22,11231,0.5483963331207633,1.0625932922121137,16,30,3,3,"hannibal, scipio aemilianus, publius scipio","hannibal, scipio"
q_22,In which county is Southern Maryland Electric Cooperative headquartered?,Charles County,charles county,1.0,1.0,,17535,3,17588,0.026624000165611506,1.2348622081335634,20,30,1,3,southern maryland electric cooperative,southern maryland electric cooperative
q_23,Who is the child of the Victim of Romance performer?,Chynna Phillips,chynna phillips,1.0,1.0,,742,5,786,0.007172957994043827,0.6814999161288142,6,7,1,3,victim of romance,victim of romance
q_24,What county was Tim Dubois born in?,McDonald County,mcdonald county,1.0,1.0,,17545,5,17598,0.14091583411209285,1.1270419170614332,19,30,1,3,tim dubois,tim dubois
q_25,What record label did the person who is part of The Bruce Lee Band start?,Asian Man Records,dill records,0.0,0.4,,513,3,549,0.008339458843693137,0.6294425411615521,5,7,1,3,the bruce lee band,the bruce lee band
q_26,What is another notable work made by the author of Miss Sara Sampson?,Emilia Galotti,emilia galotti,1.0,1.0,,38779,4,38831,0.3560947079677135,1.7046492910012603,17,30,1,3,miss sara sampson,miss sara sampson
q_27,What instrument is played by the person from The Blackout All-Stars?,conga,conga,1.0,1.0,,738,2,786,0.01891595800407231,0.805857292143628,10,13,1,3,the blackout all-stars,the blackout all-stars
q_28,What is the seat of the county where Van Hook Township is located?,Stanley,mountrail county courthouse,0.0,0.0,,4391,4,4438,0.03812275012023747,0.8475109999999404,28,30,1,3,van hook township,van hook township
q_29,"Who is the father of Edward Baring, 1st Baron Revelstoke's father?","Sir Francis Baring, 1st Baronet","sir francis baring, 1st baronet",1.0,1.0,,27240,10,27295,1.1858709170483053,2.4012953338678926,14,30,5,3,"baring family, sir francis baring, 1st baronet, henry baring, lieutenant-general charles baring, godfrey baring","edward baring, 1st baron revelstoke"
q_30,What group was the performer of Be the One a member of?,Jackson 5,the jackson 5,1.0,1.0,,987,5,1039,0.01828320906497538,0.6410952920559794,8,12,1,3,be the one,be the one
q_31,Who is the lead singer of the band performing Bang Bang Rock & Roll?,Eddie Argos,eddie argos,1.0,1.0,,272,4,313,0.007164167007431388,0.8107882919721305,1,3,1,3,bang bang rock & roll,bang bang rock & roll
q_32,What is the network which National Cycle Route 57 is part of an example of?,national cycling route network,national cycle network,0.0,0.5714285714285715,,35574,3,35626,0.09398158313706517,1.5347192089539021,15,30,1,3,national cycle route 57,national cycle route 57
q_33,Who is the spouse of the child of Peter Andreas Heiberg?,Johanne Luise Heiberg,johanne luise heiberg,1.0,1.0,,1766,7,1820,0.009312500013038516,0.9716324578039348,13,15,1,3,peter andreas heiberg,peter andreas heiberg
q_34,The Unwinding author volunteered for which organisation?,Peace Corps,peace corps,1.0,1.0,,30996,2,31039,8.394607082940638,1.4013991670217365,21,30,5,3,"the unwinding: an inner history of the new america, undead series, peter thiel, barry unsworth, i'm dysfunctional, you're dysfunctional: the recovery movement and other self-help fashions",the unwinding
q_35,What is the capital of the county that Pine Springs is located in?,Van Horn,van horn,1.0,1.0,,7147,2,7190,0.03627358307130635,0.8149149578530341,20,30,1,3,pine springs,pine springs
q_36,What district is the headquarter of Julia's House located?,East Dorset,east dorset,1.0,1.0,,417,3,452,0.00925541715696454,0.6882441251073033,2,4,1,3,julia's house,julia's house
q_37,Who is the spouse of Young Man Luther's author?,Joan Erikson,katharina von bora,0.0,0.0,,7201,4,7251,0.24673812510445714,1.4020304169971496,10,30,5,3,"young man luther: a study in psychoanalysis and history, martin luther, lutheran church, elisabeth luther, book of concord",young man luther
