question_id,question,ground_truth,prediction,em,f1,llm_accuracy,prompt_tokens,completion_tokens,total_tokens,retrieval_s,generation_s,num_paths,num_entities,num_seeds,steps_taken,seed_entities,extracted_entities
q_0,Who is the spouse of the Green performer?,Miquette Giraudy,miquette giraudy,1.0,1.0,,9034,4,9086,0.20937204197980464,1.7513512501027435,20,30,1,2,green,green
q_1,Who founded the company that distributed the film UHF?,Mike Medavoy,morris mike medavoy,0.0,0.8,,23553,6,23605,0.13253783318214118,1.9802884170785544,21,30,5,2,"uhf (film), orion pictures, tulsa, oklahoma, midnight fm, bluebox limited films",uhf
q_2,What administrative territorial entity is the owner of Ciudad Deportiva located?,Tamaulipas,nuevo laredo municipality,0.0,0.0,,1803,4,1844,0.010029708035290241,1.6867505421396345,9,12,1,2,ciudad deportiva,ciudad deportiva
q_3,Where is Ulrich Walter's employer headquartered?,Cologne,chicago,0.0,0.0,,5472,2,5515,0.009881542064249516,1.7092162910848856,19,20,1,2,ulrich walter,ulrich walter
q_4,Which company owns the manufacturer of Learjet 60?,Bombardier Inc.,bombardier inc.,1.0,1.0,,2009,4,2059,0.02503825002349913,1.8528055001515895,12,30,5,2,"learjet, pw305a, bombardier inc., avro rj70, avro rj100",learjet 60
q_5,Who is the child of Caroline LeRoy's spouse?,Fletcher Webster,hannah cornell,0.0,0.0,,40695,4,40743,2.9654701249673963,1.9876898750662804,19,30,5,2,"leroy, herman leroy, le roy, caroline leroy webster, breton ar roue",caroline leroy
q_6,"Who is the grandmother of Philippe, Duke of Orléans?",Marie de' Medici,anne of austria,0.0,0.0,,8789,4,8840,1.4123710421845317,1.041392209008336,15,30,5,2,"philippe i, duke of orléans, philippe ii, duke of orléans, philippe, louis philippe, françois d'orléans, prince of joinville","philippe, duke of orl&#233;ans"
q_7,What is the goal of the group that European Movement Germany is a member of?,European integration,promoting European integration and disseminating information about it,0.0,0.4,,328,8,365,0.008424250176176429,1.7053264169953763,2,4,1,2,european movement germany,european movement germany
q_8,What company succeeded the owner of Empire Sports Network?,Time Warner Cable,time warner cable,1.0,1.0,,22393,4,22445,0.23802345898002386,2.0380309170577675,13,30,1,2,empire sports network,empire sports network
q_9,What province shares a border with the province where Lago District is located?,Cabo Delgado Province,niassa province,0.0,0.4,,1732,3,1764,0.012256457936018705,1.572132125031203,20,22,1,2,lago district,lago district
q_10,What league does the team that plays in Stadio Ciro Vigorito play for?,Lega Pro Prima Divisione,lega pro,0.0,0.6666666666666666,,2782,2,2830,0.005617958027869463,0.765661499928683,4,6,1,2,stadio ciro vigorito,stadio ciro vigorito
q_11,What is a notable work written by the author of The Timothy files?,Anderson Tapes,the anderson tapes,1.0,1.0,,322,4,353,0.004612124990671873,0.6309554579202086,2,4,1,2,the timothy files,the timothy files
q_12,In which borough was Callum McManaman born?,Knowsley,metropolitan borough of knowsley,0.0,0.4,,7153,6,7201,0.030133208027109504,1.0961285408120602,17,30,1,2,callum mcmanaman,callum mcmanaman
q_13,What other county does the county where Imperial is located share a border with?,Crockett County,'crockett county',1.0,1.0,,5824,6,5870,0.04821083298884332,0.8066904169972986,25,30,1,2,imperial,imperial
q_14,In what county is William W. Blair's birthplace located?,Orleans County,sweetwater county,0.0,0.5,,28411,3,28463,2.0288874588441104,1.2442400411237031,16,30,5,2,"blair brothers, blairtown, sheridan, george blair, blaine",william w. blair
q_15,What award did the author of The Red Tree receive?,Academy Award for Best Animated Short Film,NOT IN KNOWLEDGE GRAPH,0.0,0.0,,256,5,289,0.010051291901618242,0.6381165829952806,1,3,1,2,the red tree,the red tree
q_16,Where was Tyler MacDuff's child educated?,Blair High School,blair international baccalaureate school,0.0,0.5714285714285715,,4812,6,4864,0.07149191689677536,0.8824106669053435,9,30,5,2,"macduff, dana andrews, beverlie may anderson, blair high school, tyler blackburn",tyler macduff
q_17,Who is the spouse of the Rabbit Hole's producer?,Keith Urban,,0.0,0.0,,18083,1,18131,0.057187499944120646,1.4521715410519391,24,30,5,2,"blossom films, echo falls, down the rabbit hole, rabbit ears productions, ingrid",rabbit hole
q_18,Who is the child of Sigrid Eskilsdotter's child?,Svante Stensson Sture,sigrid sture,0.0,0.4,,4125,4,4180,0.05499287508428097,0.985753167187795,10,30,5,2,"sigrid eskilsdotter (banér), märta erikdotter leijonhufvud, svante stensson sture, siri dannevig, margaret leijonhufvud",sigrid eskilsdotter
q_19,In which county is Kimbrough Memorial Stadium located?,Randall County,randall county,1.0,1.0,,4469,3,4521,0.010583166964352131,0.890037041157484,17,13,1,2,kimbrough memorial stadium,kimbrough memorial stadium
q_20,What record label is the performer of Almost Made Ya signed to?,Derrty Entertainment,universal music group,0.0,0.0,,2476,3,2525,0.02622491610236466,0.7936861249618232,14,30,1,2,almost made ya,almost made ya
q_21,Where was the author of Hannibal and Scipio educated at?,Exeter College,M. Leigh,0.0,0.0,,11133,3,11181,0.20327370800077915,2.7631812910549343,16,30,3,2,"hannibal, scipio aemilianus, publius scipio","hannibal, scipio"
q_22,In which county is Southern Maryland Electric Cooperative headquartered?,Charles County,charles county,1.0,1.0,,1873,3,1922,0.009334250120446086,0.7628642909694463,20,8,1,2,southern maryland electric cooperative,southern maryland electric cooperative
q_23,Who is the child of the Victim of Romance performer?,Chynna Phillips,chynna phillips,1.0,1.0,,409,5,456,0.004643167136237025,0.8577750830445439,3,5,1,2,victim of romance,victim of romance
q_24,What county was Tim Dubois born in?,McDonald County,mcdonald county,1.0,1.0,,17591,5,17640,0.01854787510819733,1.1170482498127967,20,30,1,2,tim dubois,tim dubois
q_25,What record label did the person who is part of The Bruce Lee Band start?,Asian Man Records,dill records,0.0,0.4,,448,3,482,0.005031541921198368,0.7220345421228558,4,6,1,2,the bruce lee band,the bruce lee band
q_26,What is another notable work made by the author of Miss Sara Sampson?,Emilia Galotti,emilia galotti,1.0,1.0,,17956,4,18008,0.11822116677649319,1.048251291969791,17,30,1,2,miss sara sampson,miss sara sampson
q_27,What instrument is played by the person from The Blackout All-Stars?,conga,conga,1.0,1.0,,619,2,658,0.0073232080321758986,0.690030625090003,9,11,1,2,the blackout all-stars,the blackout all-stars
q_28,What is the seat of the county where Van Hook Township is located?,Stanley,mountrail county courthouse,0.0,0.0,,4396,4,4443,0.02079458301886916,0.723052583867684,28,30,1,2,van hook township,van hook township
q_29,"Who is the father of Edward Baring, 1st Baron Revelstoke's father?","Sir Francis Baring, 1st Baronet","sir francis baring, 1st baronet",1.0,1.0,,25953,10,26005,0.25815229094587266,1.8914846249390391,17,30,5,2,"baring family, sir francis baring, 1st baronet, henry baring, lieutenant-general charles baring, godfrey baring","edward baring, 1st baron revelstoke"
