question_id,question,ground_truth,prediction,em,f1,llm_accuracy,prompt_tokens,completion_tokens,total_tokens,retrieval_s,generation_s,num_paths,num_entities,num_seeds,steps_taken,seed_entities,extracted_entities
q_0,Who is the spouse of the Green performer?,Miquette Giraudy,Miquette Giraudy,1.0,1.0,,4270,5,4319,0.041314292000606656,1.6980919579509646,15,16,1,1,green,green
q_1,Who founded the company that distributed the film UHF?,Mike Medavoy,morris mike medavoy,0.0,0.8,,3806,6,3860,0.03516733390279114,1.9053467919584364,17,12,5,1,"uhf (film), orion pictures, tulsa, oklahoma, midnight fm, bluebox limited films",uhf
q_2,What administrative territorial entity is the owner of Ciudad Deportiva located?,Tamaulipas,nuevo laredo,0.0,0.0,,405,3,436,0.013877458171918988,1.7054449170827866,5,6,1,1,ciudad deportiva,ciudad deportiva
q_3,Where is Ulrich Walter's employer headquartered?,Cologne,"Chicago, Illinois",0.0,0.0,,600,3,642,0.007935667177662253,1.8286273330450056,5,6,1,1,ulrich walter,ulrich walter
q_4,Which company owns the manufacturer of Learjet 60?,Bombardier Inc.,pratt & whitney canada,0.0,0.0,,1120,6,1157,0.03131804196164012,1.8243816669564696,13,14,5,1,"learjet, pw305a, bombardier inc., avro rj70, avro rj100",learjet 60
q_5,Who is the child of Caroline LeRoy's spouse?,Fletcher Webster,fletcher webster,1.0,1.0,,19695,4,19733,0.06972641707397997,2.1405061250552535,16,14,5,1,"leroy, herman leroy, le roy, caroline leroy webster, breton ar roue",caroline leroy
q_6,"Who is the grandmother of Philippe, Duke of Orléans?",Marie de' Medici,anne of austria,0.0,0.0,,6733,4,6784,0.038702249992638826,1.8619667498860508,16,30,5,1,"philippe i, duke of orléans, philippe ii, duke of orléans, philippe, louis philippe, françois d'orléans, prince of joinville","philippe, duke of orl&#233;ans"
q_7,What is the goal of the group that European Movement Germany is a member of?,European integration,"The provided knowledge graph does not contain information about what groups European Movement Germany is a member of, nor does it state the goals of any organization. Therefore, the question cannot be answered from the given information.",0.0,0.0588235294117647,,218,41,288,0.005644749850034714,1.8229700410738587,1,2,1,1,european movement germany,european movement germany
q_8,What company succeeded the owner of Empire Sports Network?,Time Warner Cable,'adelphia communications corporation',0.0,0.0,,1782,5,1831,0.008840667083859444,1.908651541918516,4,5,1,1,empire sports network,empire sports network
q_9,What province shares a border with the province where Lago District is located?,Cabo Delgado Province,niassa province,0.0,0.4,,587,3,619,0.010505542159080505,1.5953803330194205,6,7,1,1,lago district,lago district
q_10,What league does the team that plays in Stadio Ciro Vigorito play for?,Lega Pro Prima Divisione,,0.0,0.0,,316,3,352,0.00663333386182785,1.4215209579560906,2,3,1,1,stadio ciro vigorito,stadio ciro vigorito
q_11,What is a notable work written by the author of The Timothy files?,Anderson Tapes,The Anderson Tapes,1.0,1.0,,281,4,326,0.005884124897420406,0.5918080839328468,2,3,1,1,the timothy files,the timothy files
