question_id,question,ground_truth,prediction,em,f1,llm_accuracy,prompt_tokens,completion_tokens,total_tokens,retrieval_s,generation_s,num_paths,num_entities,num_seeds,steps_taken,seed_entities,extracted_entities
q_0,Who is the mother of the director of film Polish-Russian War (Film)?,Małgorzata Braunek,małgorzata braunek,1.0,1.0,,2272,6,2326,0.1870410421397537,1.5657787499949336,21,24,1,3,polish-russian war (film),polish-russian war (film)
q_1,"Which film came out first, Blind Shaft or The Mask Of Fu Manchu?",The Mask Of Fu Manchu,the mask of fu manchu,1.0,1.0,,2565,6,2617,0.4465413331054151,1.7152097090147436,20,30,2,3,"blind shaft, the mask of fu manchu","blind shaft, the mask of fu manchu"
q_2,"When did John V, Prince Of Anhalt-Zerbst's father die?",12 June 1516,"The knowledge graph does not contain information about when John V, Prince Of Anhalt-Zerbst's father died.",0.0,0.0,,3402,24,3477,0.42925420799292624,1.4009982089046389,12,30,1,3,"john v, prince of anhalt-zerbst","john v, prince of anhalt-zerbst"
q_3,What is the award that the director of film Wearing Velvet Slippers Under A Golden Umbrella won?,Myanmar Motion Picture Academy Awards,myanmar motion picture academy awards,1.0,1.0,,644,6,695,0.14482695795595646,1.6089258750434965,8,10,1,3,wearing velvet slippers under a golden umbrella,wearing velvet slippers under a golden umbrella
q_4,Where was the director of film Ronnie Rocket born?,"Missoula, Montana",missoula,0.0,0.6666666666666666,,3300,2,3327,0.3080288749188185,1.2912041661329567,25,30,1,3,ronnie rocket,ronnie rocket
q_5,Who is Charles Bretagne Marie De La Trémoille's paternal grandfather?,Charles Armand René de La Trémoille,charles armand rené de la trémoille,1.0,1.0,,3968,12,4022,0.19642937486059964,1.5939747910015285,6,30,1,3,charles bretagne marie de la trémoille,charles bretagne marie de la trémoille
q_6,Where was the father of Ștefan I. Nenițescu born?,Galați,galați,1.0,1.0,,2069,3,2104,0.300479874946177,1.3334142919629812,19,30,1,3,ștefan i. nenițescu,ștefan i. nenițescu
q_7,Are North Marion High School (Oregon) and Seoul High School both located in the same country?,no,no,1.0,1.0,,6531,1,6580,0.4032011248636991,1.7860090001486242,13,30,3,3,"broadacres, donald, seoul high school","north marion high school (oregon), seoul high school"
q_8,"Which film has the director who was born later, El Extraño Viaje or Love In Pawn?",El Extraño Viaje,El Extraño Viaje,1.0,1.0,,1236,5,1278,0.09473562496714294,1.541484166868031,10,14,2,3,"el extraño viaje, love in pawn","el extraño viaje, love in pawn"
q_9,Who is the maternal grandfather of Antiochus X Eusebes?,Ptolemy IX Lathyros,'antiochus ix cyzicenus',0.0,0.3333333333333333,,2083,10,2132,0.2807560828514397,1.3859352499712259,16,30,1,3,antiochus x eusebes,antiochus x eusebes
q_10,"Which film has the director died first, Crimen A Las Tres or The Working Class Goes To Heaven?",The Working Class Goes To Heaven,Crimen A Las Tres,0.0,0.0,,4580,5,4625,0.14246333297342062,0.9473635831382126,17,30,2,3,"crimen a las tres, the working class goes to heaven","crimen a las tres, the working class goes to heaven"
q_11,"Which film has the director born first, Once A Gentleman or The Girl In White?",Once A Gentleman,Once a Gentleman,1.0,1.0,,3112,3,3161,0.03549558320082724,0.9753907499834895,14,30,2,3,"once a gentleman, the girl in white","once a gentleman, the girl in white"
q_12,"Which film has the director who died earlier, Il Seduttore or The Trial Of Joan Of Arc?",The Trial Of Joan Of Arc,Il Seduttore,0.0,0.0,,6716,3,6757,0.1974250830244273,1.1066950000822544,19,30,2,3,"il seduttore, the trial of joan of arc","il seduttore, the trial of joan of arc"
q_13,Where was the director of film Thomas Jefferson (Film) born?,Brooklyn,'ken burns',0.0,0.0,,10430,4,10481,0.08715166593901813,1.057432291796431,28,30,1,3,thomas jefferson (film),thomas jefferson (film)
