question_id,question,ground_truth,prediction,em,f1,llm_accuracy,prompt_tokens,completion_tokens,total_tokens,retrieval_s,generation_s,num_paths,num_entities,num_seeds,steps_taken,seed_entities,extracted_entities
q_0,Who is the mother of the director of film Polish-Russian War (Film)?,Małgorzata Braunek,małgorzata braunek,1.0,1.0,,1806,6,1849,0.10474233306013048,1.8283700000029057,20,13,1,3,polish-russian war (film),polish-russian war (film)
q_1,"Which film came out first, Blind Shaft or The Mask Of Fu Manchu?",The Mask Of Fu Manchu,the mask of fu manchu,1.0,1.0,,2532,6,2575,0.2464102499652654,1.712556750047952,21,30,2,3,"blind shaft, the mask of fu manchu","blind shaft, the mask of fu manchu"
q_2,"When did John V, Prince Of Anhalt-Zerbst's father die?",12 June 1516,"The knowledge graph does not contain information about when John V, Prince Of Anhalt-Zerbst's father died.",0.0,0.0,,3200,24,3270,0.28688970883376896,1.7208682501222938,10,30,1,3,"john v, prince of anhalt-zerbst","john v, prince of anhalt-zerbst"
q_3,What is the award that the director of film Wearing Velvet Slippers Under A Golden Umbrella won?,Myanmar Motion Picture Academy Awards,myanmar motion picture academy awards,1.0,1.0,,644,6,698,0.08629525010474026,2.2198863339144737,8,10,1,3,wearing velvet slippers under a golden umbrella,wearing velvet slippers under a golden umbrella
q_4,Where was the director of film Ronnie Rocket born?,"Missoula, Montana",missoula,0.0,0.6666666666666666,,2850,2,2891,0.19196954183280468,1.7679647081531584,16,30,1,3,ronnie rocket,ronnie rocket
q_5,Who is Charles Bretagne Marie De La Trémoille's paternal grandfather?,Charles Armand René de La Trémoille,charles armand rené de la trémoille,1.0,1.0,,3901,12,3961,0.07388904108665884,2.11192245897837,4,30,1,3,charles bretagne marie de la trémoille,charles bretagne marie de la trémoille
q_6,Where was the father of Ștefan I. Nenițescu born?,Galați,galați,1.0,1.0,,1838,3,1891,0.15472420793958008,1.9416861671488732,25,30,1,3,ștefan i. nenițescu,ștefan i. nenițescu
q_7,Are North Marion High School (Oregon) and Seoul High School both located in the same country?,no,no,1.0,1.0,,6499,1,6546,0.546316749881953,1.6184193340595812,14,27,3,3,"broadacres, donald, seoul high school","north marion high school (oregon), seoul high school"
q_8,"Which film has the director who was born later, El Extraño Viaje or Love In Pawn?",El Extraño Viaje,El Extraño Viaje,1.0,1.0,,1125,5,1170,0.13700404088012874,1.8767076660878956,10,13,2,3,"el extraño viaje, love in pawn","el extraño viaje, love in pawn"
q_9,Who is the maternal grandfather of Antiochus X Eusebes?,Ptolemy IX Lathyros,Ptolemy IX Lathyros,1.0,1.0,,1883,7,1929,0.21117824991233647,1.7470130000729114,3,30,1,3,antiochus x eusebes,antiochus x eusebes
q_10,"Which film has the director died first, Crimen A Las Tres or The Working Class Goes To Heaven?",The Working Class Goes To Heaven,Crimen a las tres,0.0,0.0,,4538,5,4581,0.09027795819565654,0.938228250015527,16,30,2,3,"crimen a las tres, the working class goes to heaven","crimen a las tres, the working class goes to heaven"
q_11,"Which film has the director born first, Once A Gentleman or The Girl In White?",Once A Gentleman,Once A Gentleman,1.0,1.0,,1699,3,1741,0.03250720794312656,0.5702099171467125,10,14,2,3,"once a gentleman, the girl in white","once a gentleman, the girl in white"
q_12,"Which film has the director who died earlier, Il Seduttore or The Trial Of Joan Of Arc?",The Trial Of Joan Of Arc,Il Seduttore,0.0,0.0,,6507,3,6556,0.08411949989385903,0.9300180829595774,16,30,2,3,"il seduttore, the trial of joan of arc","il seduttore, the trial of joan of arc"
q_13,Where was the director of film Thomas Jefferson (Film) born?,Brooklyn,,0.0,0.0,,4550,0,4597,0.04597479198127985,0.7490199580788612,2,4,1,3,thomas jefferson (film),thomas jefferson (film)
q_14,Why did Grand Duke Kirill Vladimirovich Of Russia's wife die?,stroke,Maria was visiting in Amorbach when she died,0.0,0.0,,7491,9,7547,0.7026667920872569,1.129500166978687,9,30,1,3,grand duke kirill vladimirovich of russia,grand duke kirill vladimirovich of russia
q_15,Where was the place of death of the director of film Beat Girl?,Nice,nice,1.0,1.0,,11939,1,11970,0.5369627920445055,0.8920594160445035,24,30,1,3,beat girl,beat girl
q_16,"Who died first, Fleetwood Sheppard or George William Whitaker?",Fleetwood Sheppard,fleetwood sheppard,1.0,1.0,,2222,4,2263,0.17400945792905986,0.645054958993569,25,30,2,3,"fleetwood sheppard, george william whitaker","fleetwood sheppard, george william whitaker"
q_17,"Which film has the director born first, The Raven'S Dance or Keïta! L'Héritage Du Griot?",The Raven'S Dance,Keïta! l'Héritage du griot,0.0,0.0,,1579,13,1636,0.0375579169485718,0.9980228750500828,13,17,2,3,"the raven's dance, keïta! l'héritage du griot","the raven's dance, keïta! l'héritage du griot"
q_18,When did Jean Martin (Singer)'s husband die?,1983,None,0.0,0.0,,7839,1,7877,0.18214116687886417,1.2735609589144588,27,30,5,3,"jean martin, carla jean martin, don martin, jean sharon, matthew quinn martin",jean martin (singer)
q_19,"Which film has the director who died earlier, Tangled Destinies or The Daltons' Women?",Tangled Destinies,Tangled Destinies,1.0,1.0,,3677,5,3729,0.06604412500746548,0.9826318330597132,14,23,2,3,"tangled destinies, the daltons' women","tangled destinies, the daltons' women"
q_20,"Which film was released earlier, Moment Of Danger or The Ballad Of Josie?",Moment Of Danger,Moment of Danger,1.0,1.0,,3462,3,3513,0.07840891717933118,0.7841853750869632,21,30,2,3,"moment of danger, the ballad of josie","moment of danger, the ballad of josie"
