question_id,question,ground_truth,prediction,em,f1,llm_accuracy,prompt_tokens,completion_tokens,total_tokens,retrieval_s,generation_s,num_paths,num_entities,num_seeds,steps_taken,seed_entities,extracted_entities
q_0,Who is the mother of the director of film Polish-Russian War (Film)?,Małgorzata Braunek,,0.0,0.0,,358,0,387,0.019049667054787278,1.393562707817182,2,3,1,1,polish-russian war (film),polish-russian war (film)
q_1,"Which film came out first, Blind Shaft or The Mask Of Fu Manchu?",The Mask Of Fu Manchu,the mask of fu manchu,1.0,1.0,,1398,6,1451,0.010141165927052498,1.662178416037932,13,15,2,1,"blind shaft, the mask of fu manchu","blind shaft, the mask of fu manchu"
q_2,"When did John V, Prince Of Anhalt-Zerbst's father die?",12 June 1516,I cannot answer this question. The provided knowledge graph does not contain information about the death dates of any individuals.,0.0,0.0,,1336,22,1392,0.010033667087554932,1.575843040831387,8,5,1,1,"john v, prince of anhalt-zerbst","john v, prince of anhalt-zerbst"
q_3,What is the award that the director of film Wearing Velvet Slippers Under A Golden Umbrella won?,Myanmar Motion Picture Academy Awards,Myanmar Motion Picture Academy Awards,1.0,1.0,,450,5,487,0.006470374995842576,1.4171428747940809,5,6,1,1,wearing velvet slippers under a golden umbrella,wearing velvet slippers under a golden umbrella
q_4,Where was the director of film Ronnie Rocket born?,"Missoula, Montana",UNKNOWN,0.0,0.0,,326,1,352,0.008245375007390976,1.52610420784913,2,3,1,1,ronnie rocket,ronnie rocket
q_5,Who is Charles Bretagne Marie De La Trémoille's paternal grandfather?,Charles Armand René de La Trémoille,jean bretagne charles de la trémoille,0.0,0.6666666666666666,,639,11,699,0.006283374968916178,1.4681579580064863,4,5,1,1,charles bretagne marie de la trémoille,charles bretagne marie de la trémoille
q_6,Where was the father of Ștefan I. Nenițescu born?,Galați,bucharest,0.0,0.0,,1750,2,1801,0.008508292026817799,1.89089429192245,26,26,1,1,ștefan i. nenițescu,ștefan i. nenițescu
q_7,Are North Marion High School (Oregon) and Seoul High School both located in the same country?,no,no,1.0,1.0,,658,1,691,0.008186333114281297,1.4190311660058796,5,6,3,1,"broadacres, donald, seoul high school","north marion high school (oregon), seoul high school"
q_8,"Which film has the director who was born later, El Extraño Viaje or Love In Pawn?",El Extraño Viaje,I cannot answer this question. The provided knowledge graph does not contain information about the birth dates of the directors.,0.0,0.0,,520,22,591,0.005283582955598831,1.73573570814915,7,9,2,1,"el extraño viaje, love in pawn","el extraño viaje, love in pawn"
q_9,Who is the maternal grandfather of Antiochus X Eusebes?,Ptolemy IX Lathyros,'antiochus ix cyzicenus',0.0,0.3333333333333333,,1119,10,1177,0.013154958141967654,6.68099245801568,4,18,1,1,antiochus x eusebes,antiochus x eusebes
q_10,"Which film has the director died first, Crimen A Las Tres or The Working Class Goes To Heaven?",The Working Class Goes To Heaven,"The knowledge graph does not contain information about the death dates of the directors, Luis Saslavsky or Elio Petri. Therefore, the question cannot be answered using only the provided knowledge graph.",0.0,0.0,,2322,38,2401,0.006887082941830158,1.075048750033602,14,11,2,1,"crimen a las tres, the working class goes to heaven","crimen a las tres, the working class goes to heaven"
q_11,"Which film has the director born first, Once A Gentleman or The Girl In White?",Once A Gentleman,Once A Gentleman,1.0,1.0,,516,3,568,0.005421792156994343,0.7075101661030203,6,8,2,1,"once a gentleman, the girl in white","once a gentleman, the girl in white"
q_12,"Which film has the director who died earlier, Il Seduttore or The Trial Of Joan Of Arc?",The Trial Of Joan Of Arc,The Trial Of Joan Of Arc,1.0,1.0,,882,6,935,0.006174999987706542,0.6505449581891298,9,11,2,1,"il seduttore, the trial of joan of arc","il seduttore, the trial of joan of arc"
q_13,Where was the director of film Thomas Jefferson (Film) born?,Brooklyn,No information available.,0.0,0.0,,269,4,301,0.0033737500198185444,0.5890327501110733,2,3,1,1,thomas jefferson (film),thomas jefferson (film)
q_14,Why did Grand Duke Kirill Vladimirovich Of Russia's wife die?,stroke,The provided knowledge graph does not contain information about the death of Grand Duke Kirill Vladimirovich Of Russia's wife.,0.0,0.0,,6886,25,6962,0.013423874974250793,0.9769040001556276,11,23,1,1,grand duke kirill vladimirovich of russia,grand duke kirill vladimirovich of russia
q_15,Where was the place of death of the director of film Beat Girl?,Nice,united states,0.0,0.0,,5178,2,5206,0.006624165922403336,0.6345444170292467,14,15,1,1,beat girl,beat girl
q_16,"Who died first, Fleetwood Sheppard or George William Whitaker?",Fleetwood Sheppard,Fleetwood Sheppard,1.0,1.0,,2080,3,2129,0.009717541979625821,0.7241420419886708,25,28,2,1,"fleetwood sheppard, george william whitaker","fleetwood sheppard, george william whitaker"
q_17,"Which film has the director born first, The Raven'S Dance or Keïta! L'Héritage Du Griot?",The Raven'S Dance,the raven's dance,1.0,1.0,,832,5,876,0.005799292121082544,0.7940111248753965,5,7,2,1,"the raven's dance, keïta! l'héritage du griot","the raven's dance, keïta! l'héritage du griot"
q_18,When did Jean Martin (Singer)'s husband die?,1983,,0.0,0.0,,1130,0,1176,0.015403832774609327,0.6705568749457598,6,11,5,1,"jean martin, carla jean martin, don martin, jean sharon, matthew quinn martin",jean martin (singer)
q_19,"Which film has the director who died earlier, Tangled Destinies or The Daltons' Women?",Tangled Destinies,The Daltons' Women,0.0,0.0,,775,5,822,0.007084957789629698,0.8255447091069072,10,12,2,1,"tangled destinies, the daltons' women","tangled destinies, the daltons' women"
q_20,"Which film was released earlier, Moment Of Danger or The Ballad Of Josie?",Moment Of Danger,Moment Of Danger,1.0,1.0,,1568,3,1620,0.008856500033289194,0.5936444590333849,16,17,2,1,"moment of danger, the ballad of josie","moment of danger, the ballad of josie"
q_21,What nationality is the director of film World And Time Enough?,United States,UNKNOWN,0.0,0.0,,414,1,460,0.004931834060698748,0.6514582079835236,6,7,1,1,world and time enough,world and time enough
q_22,"Which film has the director died earlier, Poker In Bed or The Machine To Kill Bad People?",The Machine To Kill Bad People,the machine to kill bad people,1.0,1.0,,607,6,659,0.006780666997656226,0.7550732919480652,5,7,2,1,"poker in bed, the machine to kill bad people","poker in bed, the machine to kill bad people"
q_23,"Which film whose director is younger, Heads I Win, Tails You Lose or The Incredible Sarah?","Heads I Win, Tails You Lose",I cannot answer this question. The knowledge graph does not contain information about the birth dates or ages of the directors 'nanni loy' or 'richard fleischer'.,0.0,0.0689655172413793,,748,34,820,0.006386999972164631,0.7954247919842601,8,10,2,1,"heads i win, tails you lose, the incredible sarah","heads i win, tails you lose, the incredible sarah"
q_24,"Who is Catherine Of Pomerania, Countess Palatine Of Neumarkt's father-in-law?",Rupert,The knowledge graph does not contain information about Catherine of Pomerania's father-in-law.,0.0,0.0,,1254,20,1318,0.010092166950926185,0.7559483328368515,10,16,5,1,"catherine of pomerania, neumarkt, christiane henriette of zweibrücken- birkenfeld, countess palatine dorothea catherine of birkenfeld-bischweiler, pomerania","catherine of pomerania, countess palatine of neumarkt"
q_25,Who is Marie Zéphyrine Of France's paternal grandmother?,Marie Leszczyńska,"'louis, dauphin of france'",0.0,0.0,,537,9,591,0.004682707833126187,0.6493587500881404,7,8,1,1,marie zéphyrine of france,marie zéphyrine of france
